# Radiation correction v2.3. Params: lat=41.2249, lon=0.3323, utc_time=2021-08-12 17:10
UTC time, Height (m AGL), Altitude (m MSL), Pressure (Pa), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg), Dew point (C), Latitude  , Longitude  
15:10:19, 20, 137, 98753, 38.76, 23.6, 0.00,  , 14.28, 41.225371, 0.331735
15:10:30, 40, 157, 98539, 38.66, 23.8, 0.00,  , 14.33, 41.225854, 0.331141
15:10:36, 60, 177, 98326, 38.79, 23.7, 0.00,  , 14.37, 41.226000, 0.330808
15:10:43, 80, 197, 98113, 38.85, 23.5, 7.01, 115.4, 14.29, 41.226201, 0.330300
15:10:48, 100, 217, 97900, 38.63, 23.6, 6.69, 113.8, 14.17, 41.226365, 0.329926
15:10:54, 120, 237, 97688, 38.19, 24.0, 6.32, 111.0, 14.10, 41.226487, 0.329433
15:11:05, 140, 257, 97476, 38.04, 24.2, 5.94, 107.7, 14.09, 41.226733, 0.328405
15:11:29, 160, 277, 97264, 37.98, 24.3, 5.58, 103.8, 14.08, 41.227105, 0.326970
15:11:34, 180, 297, 97053, 37.89, 24.3, 5.83, 92.7, 14.05, 41.227141, 0.326659
15:11:38, 200, 317, 96842, 37.75, 24.5, 6.97, 96.1, 14.03, 41.227189, 0.326348
15:11:42, 220, 337, 96632, 37.52, 24.9, 8.17, 94.3, 14.10, 41.227237, 0.326037
15:11:48, 240, 357, 96422, 37.29, 25.4, 8.34, 91.6, 14.20, 41.227221, 0.325399
15:11:55, 260, 377, 96212, 36.93, 25.8, 7.89, 90.1, 14.17, 41.227249, 0.324747
15:12:01, 280, 397, 96002, 36.56, 26.0, 7.50, 92.4, 13.97, 41.227266, 0.324221
15:12:05, 300, 417, 95792, 36.38, 26.1, 7.28, 94.9, 13.87, 41.227298, 0.323916
15:12:11, 320, 437, 95583, 36.26, 26.2, 7.07, 99.0, 13.83, 41.227355, 0.323494
15:12:17, 340, 457, 95375, 36.06, 26.3, 6.77, 108.6, 13.69, 41.227470, 0.322917
15:12:26, 360, 477, 95166, 35.74, 26.2, 6.50, 123.1, 13.40, 41.227663, 0.322320
15:12:34, 380, 497, 94958, 35.61, 26.2, 6.32, 125.6, 13.28, 41.227897, 0.321863
15:12:41, 400, 517, 94750, 35.45, 26.2, 6.62, 124.3, 13.16, 41.228159, 0.321404
15:12:47, 420, 537, 94543, 35.27, 26.3, 7.06, 121.0, 13.05, 41.228343, 0.321021
15:12:53, 440, 557, 94336, 35.15, 26.5, 7.67, 119.5, 13.02, 41.228506, 0.320598
15:12:57, 460, 577, 94129, 35.01, 26.7, 8.30, 116.9, 13.04, 41.228664, 0.320171
15:13:02, 480, 597, 93922, 34.79, 27.3, 8.81, 106.0, 13.20, 41.228755, 0.319638
15:13:06, 500, 617, 93716, 34.58, 27.8, 9.18, 99.2, 13.28, 41.228845, 0.319105
15:13:11, 520, 637, 93510, 34.45, 27.9, 9.29, 100.3, 13.23, 41.228904, 0.318643
15:13:18, 540, 657, 93305, 34.29, 27.9, 9.27, 102.4, 13.12, 41.229026, 0.317926
15:13:27, 560, 677, 93100, 34.08, 28.0, 8.78, 101.1, 12.96, 41.229241, 0.316811
15:13:36, 580, 697, 92895, 33.92, 28.1, 8.08, 99.9, 12.88, 41.229357, 0.315927
15:13:43, 600, 717, 92691, 33.80, 28.2, 7.50, 99.8, 12.87, 41.229436, 0.315252
15:13:51, 620, 737, 92487, 33.68, 28.3, 6.98, 100.4, 12.82, 41.229526, 0.314701
15:13:57, 640, 757, 92283, 33.44, 28.3, 6.66, 99.6, 12.62, 41.229591, 0.314177
15:14:04, 660, 777, 92080, 33.14, 28.1, 6.61, 104.8, 12.25, 41.229645, 0.313619
15:14:12, 680, 797, 91876, 32.95, 27.9, 6.65, 111.1, 11.95, 41.229791, 0.313072
15:14:20, 700, 817, 91673, 32.87, 27.8, 6.67, 114.5, 11.82, 41.230000, 0.312473
15:14:29, 720, 837, 91471, 32.73, 27.8, 6.75, 113.8, 11.73, 41.230214, 0.311872
15:14:37, 740, 857, 91269, 32.54, 28.1, 6.76, 113.0, 11.75, 41.230424, 0.311268
15:14:45, 760, 877, 91067, 32.37, 28.5, 6.54, 112.8, 11.81, 41.230615, 0.310610
15:14:53, 780, 897, 90865, 32.16, 29.1, 6.34, 113.3, 11.95, 41.230782, 0.310090
15:14:59, 800, 917, 90664, 31.98, 29.7, 6.13, 110.5, 12.06, 41.230908, 0.309702
15:15:05, 820, 937, 90463, 31.84, 30.0, 6.05, 106.8, 12.11, 41.231009, 0.309288
15:15:12, 840, 957, 90263, 31.73, 30.1, 6.09, 104.4, 12.07, 41.231109, 0.308771
15:15:19, 860, 977, 90063, 31.58, 30.2, 6.19, 103.7, 12.02, 41.231195, 0.308269
15:15:27, 880, 997, 89863, 31.42, 30.4, 6.20, 101.8, 11.96, 41.231295, 0.307730
15:15:34, 900, 1017, 89664, 31.24, 30.5, 6.18, 98.6, 11.85, 41.231359, 0.307248
15:15:41, 920, 1037, 89465, 31.09, 30.6, 6.20, 96.5, 11.76, 41.231419, 0.306704
